0.53979E-06 0.42009E-08 0.00000E+01 175050 0 0 7604 0.14090E+11 0.00000E+01 0.53979E-06 0.00000E+01 0.00000E+01 0
1 5.0416e-07 8.4363e-08 11.832 0.00019182 5.0416e-07
2 5.5566e-07 3.0927e-08 5.5658 8.362e-05 5.5566e-07
3 5.3675e-07 7.5378e-09 1.986 1.5335e-05 5.3675e-07
4 5.0451e-07 1.2767e-07 17.894 0.00043409 5.0451e-07
5 4.7614e-07 2.6983e-08 5.667 0.00013344 4.7614e-07
6 5.5133e-07 8.2425e-09 2.1143 3.888e-05 5.5133e-07
7 5.1871e-07 1.6139e-07 22.001 0.00073693 5.1871e-07
8 5.3411e-07 3.124e-08 5.849 0.00015217 5.3411e-07
9 5.3822e-07 7.9248e-09 2.0823 1.867e-05 5.3822e-07
10 6.0934e-07 1.0016e-07 11.623 0.00020927 6.0934e-07
11 5.3304e-07 2.6573e-08 4.9851 7.9281e-05 5.3304e-07
12 5.3186e-07 7.2503e-09 1.9279 1.7631e-05 5.3186e-07
13 4.5541e-07 7.966e-08 12.369 0.00021023 4.5541e-07
14 5.4298e-07 2.9471e-08 5.4277 8.1043e-05 5.4298e-07
15 5.4534e-07 7.7189e-09 2.0017 1.6161e-05 5.4534e-07
<lo_statistics>
<cumulated_time> 7.211695 </cumulated_time>
</lo_statistics>
